iter	Passed	Remaining
763	20001	6178
764	20024	6151
765	20043	6122
766	20062	6094
767	20083	6066
768	20098	6037
769	20117	6009
770	20133	5980
771	20153	5952
772	20171	5923
773	20191	5895
774	20209	5867
775	20228	5839
776	20249	5811
777	20266	5782
778	20284	5754
779	20297	5724
780	20316	5696
781	20332	5668
782	20352	5640
783	20369	5612
784	20386	5583
785	20402	5555
786	20421	5527
787	20437	5498
788	20455	5470
789	20470	5441
790	20488	5413
791	20503	5384
792	20520	5356
793	20536	5328
794	20553	5299
795	20569	5271
796	20585	5243
797	20600	5214
798	20618	5186
799	20637	5159
800	20657	5132
801	20676	5104
802	20692	5076
803	20712	5049
804	20727	5020
805	20749	4994
806	20767	4966
807	20788	4939
808	20806	4912
809	20824	4884
810	20843	4857
811	20858	4829
812	20879	4802
813	20896	4774
814	20914	4747
815	20928	4719
816	20946	4691
817	20962	4663
818	20982	4637
819	20998	4609
820	21016	4582
821	21034	4555
822	21057	4528
823	21080	4502
824	21096	4474
825	21117	4448
826	21134	4421
827	21165	4396
828	21182	4369
829	21199	4341
830	21216	4314
831	21231	4287
832	21248	4259
833	21263	4232
834	21279	4204
835	21293	4177
836	21308	4149
837	21320	4121
838	21338	4094
839	21353	4067
840	21369	4040
841	21383	4012
842	21400	3985
843	21414	3958
844	21431	3931
845	21448	3904
846	21468	3877
847	21481	3850
848	21498	3823
849	21519	3797
850	21544	3772
851	21564	3745
852	21585	3719
853	21609	3694
854	21628	3667
855	21646	3641
856	21662	3614
857	21678	3587
858	21692	3560
859	21709	3534
860	21723	3506
861	21739	3480
862	21752	3453
863	21770	3426
864	21782	3399
865	21800	3373
866	21815	3346
867	21831	3320
868	21844	3293
869	21862	3266
870	21877	3240
871	21892	3213
872	21906	3186
873	21919	3159
874	21933	3133
875	21946	3106
876	21962	3080
877	21975	3053
878	21990	3027
879	22005	3000
880	22020	2974
881	22036	2948
882	22047	2921
883	22063	2895
884	22077	2868
885	22094	2842
886	22108	2816
887	22122	2790
888	22140	2764
889	22162	2739
890	22180	2713
891	22200	2687
892	22217	2662
893	22239	2636
894	22262	2611
895	22277	2585
896	22297	2560
897	22311	2534
898	22331	2508
899	22345	2482
900	22366	2457
901	22382	2431
902	22401	2406
903	22415	2380
904	22434	2355
905	22449	2329
906	22470	2304
907	22490	2278
908	22507	2253
909	22524	2227
910	22540	2202
911	22558	2176
912	22574	2151
913	22595	2126
914	22610	2100
915	22629	2075
916	22644	2049
917	22666	2024
918	22686	1999
919	22705	1974
920	22730	1949
921	22750	1924
922	22769	1899
923	22789	1874
924	22806	1849
925	22829	1824
926	22846	1799
927	22868	1774
928	22894	1749
929	22916	1724
930	22936	1699
931	22960	1675
932	22984	1650
933	23001	1625
934	23021	1600
935	23037	1575
936	23060	1550
937	23082	1525
938	23102	1500
939	23122	1475
940	23138	1450
941	23161	1426
942	23173	1400
943	23190	1375
944	23203	1350
945	23220	1325
946	23235	1300
947	23255	1275
948	23272	1250
949	23288	1225
950	23300	1200
951	23318	1175
952	23332	1150
953	23347	1125
954	23364	1100
955	23386	1076
956	23403	1051
957	23427	1027
958	23448	1002
959	23469	977
960	23495	953
961	23523	929
962	23541	904
963	23562	879
964	23584	855
965	23601	830
966	23628	806
967	23652	781
968	23676	757
969	23697	732
970	23720	708
971	23732	683
972	23749	659
973	23764	634
974	23783	609
975	23797	585
976	23821	560
977	23837	536
978	23852	511
979	23868	487
980	23885	462
981	23905	438
982	23933	413
983	23954	389
984	23978	365
985	24001	340
986	24022	316
987	24053	292
988	24083	267
989	24112	243
990	24135	219
991	24155	194
992	24176	170
993	24193	146
994	24215	121
995	24232	97
996	24251	72
997	24269	48
998	24287	24
999	24306	0
